"midsPop=18" "midsPop=38" "midsPop=68" "midsPop=120" "midsPop=206" "midsPop=326" "midsPop=460" "midsPop=595" "midsPop=741" "midsPop=908" "midsPop=1179" "midsPop=2180"
"month=36" 0.00413223140495868 0.00325379609544469 0.00650759219088937 0.0151187904967603 0.028322440087146 0.0341786108048512 0.0438202247191011 0.0661434977578475 0.0822711471610661 0.104018912529551 0.109605911330049 0.151639344262295
"month=37" 0.0114107883817427 0.0238611713665944 0.0303030303030303 0.0533769063180828 0.081767955801105 0.110614525139665 0.161947904869762 0.174825174825175 0.207021791767554 0.200498132004981 0.24293059125964 0.335311572700297
"month=38" 0.00837696335078534 0.0376522702104097 0.0488888888888889 0.0660592255125285 0.124555160142349 0.177478580171359 0.254237288135593 0.300813008130081 0.354136429608128 0.411504424778761 0.438709677419355 0.505241090146751
"month=39" 0.0292887029288703 0.068259385665529 0.0963302752293578 0.158145065398335 0.21903520208605 0.335694050991501 0.407528641571195 0.464737793851718 0.561181434599156 0.586698337292161 0.641304347826087 0.711382113821138
"month=40" 0.0344086021505376 0.0665083135391924 0.0766378244746601 0.138356164383562 0.205371248025276 0.252485089463221 0.393401015228426 0.439628482972136 0.497854077253219 0.472081218274112 0.573426573426573 0.532467532467532
"month=41" 0.00985761226725082 0.0280830280830281 0.0448877805486284 0.0792079207920792 0.0948419301164725 0.10655737704918 0.122857142857143 0.160919540229885 0.126315789473684 0.220238095238095 0.172727272727273 0.158730158730159
"month=42" 0.00529100529100529 0.00346420323325635 0.00941176470588235 0.00768245838668374 0.0192837465564738 0.0384615384615385 0.034965034965035 0.0337301587301587 0.047979797979798 0.045822102425876 0.0380622837370242 0.0542168674698795
"month=43" 0 0 0.00219058050383352 0.00554323725055432 0.0101351351351351 0.0214797136038186 0.0245700245700246 0.0210918114143921 0.0204638472032742 0.028735632183908 0.025 0.0261044176706827
"month=44" 0.0020703933747412 0.00866738894907909 0.0129171151776103 0.0108459869848156 0.0119956379498364 0.0144766146993318 0.0224215246636771 0.0360766629086809 0.0342857142857143 0.0356294536817102 0.0302663438256659 0.0498084291187739
"month=45" 0.0072463768115942 0.00436205016357688 0.0043525571273123 0.0108695652173913 0.0162689804772234 0.0185185185185185 0.0253303964757709 0.0398230088495575 0.0303030303030303 0.0372881355932203 0.0440677966101695 0.0438908659549229
"month=46" 0 0.00108695652173913 0.00432432432432432 0.00327153762268266 0.00543478260869565 0.014207650273224 0.0187845303867403 0.0165929203539823 0.0244444444444444 0.0235690235690236 0.0326576576576577 0.0284738041002278
"month=47" 0.00206825232678387 0.00216450216450216 0.00108108108108108 0.0043010752688172 0.00430570505920344 0.0130293159609121 0.0141921397379913 0.0270562770562771 0.0385887541345094 0.0407488986784141 0.0400890868596882 0.0489977728285078
"month=48" 0 0.00108342361863489 0.00215285252960172 0.00538213132400431 0.00860215053763441 0.00975081256771398 0.0227765726681128 0.031763417305586 0.0234375 0.0437219730941704 0.0446927374301676 0.0636363636363636
"month=49" 0.00103305785123967 0.00108225108225108 0.00323275862068966 0.00754310344827586 0.00971922246220302 0.0216450216450216 0.0240700218818381 0.0286028602860286 0.0375275938189845 0.0496613995485327 0.085297418630752 0.125435540069686
"month=50" 0.00103412616339193 0.00108225108225108 0.00323275862068966 0.00755939524838013 0.00756756756756757 0.0197368421052632 0.0197585071350165 0.0306345733041575 0.0413870246085011 0.0396825396825397 0.0447058823529412 0.0796019900497512
"month=51" 0.00103412616339193 0.00324675324675325 0.00538793103448276 0.00432432432432432 0.0107758620689655 0.0174482006543075 0.0207650273224044 0.0285087719298246 0.0256983240223464 0.0303712035995501 0.044167610419026 0.0545670225385528
"month=52" 0.00206825232678387 0.00542299349240781 0.00324324324324324 0.00538793103448276 0.00864864864864865 0.0108932461873638 0.0153172866520788 0.0153172866520788 0.0296377607025247 0.0412946428571429 0.0404494382022472 0.0488940628637951
"month=53" 0.0020703933747412 0.00434782608695652 0.00539956803455724 0.00646551724137931 0.00970873786407767 0.0183982683982684 0.0238870792616721 0.0248380129589633 0.0330396475770925 0.027027027027027 0.046875 0.0539609644087256
"month=54" 0 0.00217155266015201 0.00432432432432432 0.00539374325782093 0.00432432432432432 0.0108932461873638 0.00876232201533406 0.00980392156862745 0.0177383592017738 0.0199556541019956 0.0280898876404494 0.046029919447641
"month=55" 0.00103305785123967 0.00433369447453954 0.00323624595469256 0.00323275862068966 0.00645161290322581 0.0108225108225108 0.00971922246220302 0.015005359056806 0.00654307524536532 0.0164835164835165 0.0176600441501104 0.0296465222348917
"month=56" 0 0.001085776330076 0.0021551724137931 0.0032258064516129 0.00861141011840689 0.0140540540540541 0.0118918918918919 0.0129032258064516 0.00861141011840689 0.0197152245345016 0.0240174672489083 0.032258064516129
"month=57" 0 0 0.00215285252960172 0.00537634408602151 0.00323624595469256 0.00542888165038002 0.00650054171180932 0.0139634801288937 0.0226537216828479 0.0241758241758242 0.0284775465498357 0.0333704115684093
"month=58" 0.00103305785123967 0.00432432432432432 0.00430570505920344 0.0129310344827586 0.00537056928034372 0.0118406889128095 0.0183387270765912 0.0226049515608181 0.025164113785558 0.0275938189845475 0.0396912899669239 0.0533333333333333
"month=59" 0.00103412616339193 0.001085776330076 0.00323624595469256 0.00434310532030402 0.00107642626480086 0.0108342361863489 0.00980392156862745 0.0141150922909881 0.0109769484083425 0.0132890365448505 0.022271714922049 0.0365296803652968
"month=60" NA NA NA NA NA NA NA NA NA NA NA NA
