"midsPop=13" "midsPop=20" "midsPop=29" "midsPop=40" "midsPop=55" "midsPop=72" "midsPop=94" "midsPop=124" "midsPop=161" "midsPop=208" "midsPop=264" "midsPop=328" "midsPop=392" "midsPop=455" "midsPop=522" "midsPop=588" "midsPop=654" "midsPop=723" "midsPop=798" "midsPop=878" "midsPop=968" "midsPop=1089" "midsPop=1269" "midsPop=1618" "midsPop=2429"
"month=19" 0.00217864923747277 0.00460829493087558 0 0.0091324200913242 0.00928074245939675 0.00453514739229025 0.0151515151515152 0.00498753117206983 0.0101010101010101 0.0106951871657754 0.0137741046831956 0.0170454545454545 0.0123456790123457 0.0249221183800623 0.0258899676375405 0.033112582781457 0.0228013029315961 0.0185873605947955 0.0140845070422535 0.020979020979021 0.0492424242424242 0.0407407407407407 0.0568181818181818 0.0235294117647059 0.0291666666666667
"month=20" 0 0.00229357798165138 0.00911161731207289 0 0.00886917960088692 0.0153172866520788 0.0142517814726841 0.00919540229885057 0.0115207373271889 0.0163934426229508 0.0119047619047619 0.0310262529832936 0.0217391304347826 0.0270935960591133 0.0329113924050633 0.0489690721649485 0.0318627450980392 0.0403022670025189 0.0177215189873418 0.0432569974554707 0.041994750656168 0.0437017994858612 0.0432432432432432 0.0390625 0.0414364640883978
"month=21" 0.00424628450106157 0.0045662100456621 0.00459770114942529 0.00443458980044346 0.0110132158590308 0.00881057268722467 0.00938967136150235 0.0205949656750572 0.0158371040723982 0.0184331797235023 0.0390804597701149 0.0214285714285714 0.0280373831775701 0.0188235294117647 0.042654028436019 0.0366748166259169 0.0498812351543943 0.0436893203883495 0.0567375886524823 0.0436893203883495 0.0320197044334975 0.0609756097560976 0.0541871921182266 0.0591133004926108 0.0453400503778338
"month=22" 0.00213219616204691 0.00227790432801822 0.0022883295194508 0.0044543429844098 0.0132450331125828 0.0175054704595186 0.013953488372093 0.0438799076212471 0.0249433106575964 0.0205479452054795 0.0281030444964871 0.0491803278688525 0.0529953917050691 0.0526315789473684 0.0660377358490566 0.0663507109004739 0.0671462829736211 0.0833333333333333 0.0748792270531401 0.0863309352517986 0.0647482014388489 0.129268292682927 0.106435643564356 0.13625304136253 0.149625935162095
"month=23" 0.00426439232409382 0.00454545454545455 0.0045766590389016 0.0155902004454343 0.0110864745011086 0.0154867256637168 0.0163551401869159 0.0332541567695962 0.0318906605922551 0.0504587155963303 0.0613207547169811 0.0530120481927711 0.0710900473933649 0.066193853427896 0.0697115384615385 0.0778588807785888 0.0968523002421307 0.109725685785536 0.120987654320988 0.130325814536341 0.123762376237624 0.168421052631579 0.160526315789474 0.170666666666667 0.206703910614525
"month=24" 0.0127931769722814 0.0113895216400911 0.0137614678899083 0.0339366515837104 0.0288248337028825 0.0286975717439294 0.0610328638497653 0.0614657210401891 0.0414746543778802 0.0619047619047619 0.0712530712530713 0.124087591240876 0.129901960784314 0.131067961165049 0.152334152334152 0.205128205128205 0.236503856041131 0.261213720316623 0.246684350132626 0.294277929155313 0.276139410187668 0.318713450292398 0.279411764705882 0.306306306306306 0.371794871794872
"month=25" 0.010752688172043 0.00919540229885057 0.0207852193995381 0.0185185185185185 0.0248868778280543 0.0269058295964126 0.0466830466830467 0.0488997555012225 0.0725995316159251 0.099273607748184 0.0984848484848485 0.144385026737968 0.160526315789474 0.200527704485488 0.143250688705234 0.256024096385542 0.259375 0.242524916943522 0.35016835016835 0.329749103942652 0.343537414965986 0.377952755905512 0.348484848484849 0.295546558704453 0.386792452830189
"month=26" 0.00862068965517241 0.0161290322580645 0.0256410256410256 0.0298165137614679 0.0293453724604966 0.0564334085778781 0.0689655172413793 0.0765432098765432 0.0904645476772616 0.145454545454545 0.13903743315508 0.212034383954155 0.23121387283237 0.331288343558282 0.276967930029155 0.288256227758007 0.339483394833948 0.350194552529183 0.379464285714286 0.425925925925926 0.428571428571429 0.414772727272727 0.348258706467662 0.370192307692308 0.363636363636364
"month=27" 0.0237580993520518 0.0372960372960373 0.0449172576832151 0.0534883720930233 0.0888382687927107 0.0610328638497653 0.0974358974358974 0.130890052356021 0.153246753246753 0.203438395415473 0.311377245508982 0.23972602739726 0.353356890459364 0.474137931034483 0.438461538461538 0.472222222222222 0.48469387755102 0.502824858757062 0.445161290322581 0.535714285714286 0.553846153846154 0.513274336283186 0.547945205479452 0.50354609929078 0.401709401709402
"month=28" 0.0328227571115974 0.0239808153477218 0.0292682926829268 0.0314009661835749 0.0738916256157636 0.0913461538461538 0.107816711590297 0.133720930232558 0.127536231884058 0.191275167785235 0.240816326530612 0.257261410788382 0.301507537688442 0.272727272727273 0.375796178343949 0.404580152671756 0.436363636363636 0.395833333333333 0.530612244897959 0.450704225352113 0.328125 0.46031746031746 0.355263157894737 0.373333333333333 0.41025641025641
"month=29" 0.0267260579064588 0.0164705882352941 0.029126213592233 0.0408653846153846 0.0420792079207921 0.0610687022900763 0.0742857142857143 0.115853658536585 0.153374233128834 0.144981412639405 0.142857142857143 0.25 0.251572327044025 0.290076335877863 0.353982300884956 0.323529411764706 0.421052631578947 0.28169014084507 0.3 0.212765957446809 0.288461538461538 0.340909090909091 0.210526315789474 0.322033898305085 0.245614035087719
"month=30" 0.00892857142857143 0.0163170163170163 0.0166666666666667 0.0239808153477218 0.0314009661835749 0.0297029702970297 0.0306406685236769 0.0461538461538462 0.0376175548589342 0.0511945392491468 0.0677966101694915 0.08 0.050314465408805 0.0661764705882353 0.106194690265487 0.0679611650485437 0.0675675675675676 0.0958904109589041 0.112903225806452 0.104166666666667 0.0535714285714286 0.163265306122449 0.106060606060606 0.107142857142857 0.120689655172414
"month=31" 0.00217391304347826 0.00232558139534884 0 0.00458715596330275 0.0022883295194508 0.00696055684454756 0.00251889168765743 0.00783289817232376 0.00251889168765743 0.0077120822622108 0.0117647058823529 0 0.0069204152249135 0.00727272727272727 0.00775193798449612 0.0262008733624454 0.0091324200913242 0 0.00595238095238095 0 0 0.0359712230215827 0.0148148148148148 0.013986013986014 0.0165289256198347
"month=32" 0.00639658848614072 0.00227272727272727 0.00684931506849315 0.00446428571428571 0.00873362445414847 0.0131578947368421 0.0139211136890951 0.0092378752886836 0.0157657657657658 0.0411899313501144 0.0282352941176471 0.0354609929078014 0.0307328605200946 0.0478468899521531 0.0513447432762836 0.0599455040871935 0.0608465608465608 0.06 0.0828571428571429 0.113268608414239 0.0914454277286136 0.0688524590163934 0.0618556701030928 0.132075471698113 0.15625
